Start of test 1...........Testing close X bounds..........
command called: 350 74 77
command called: 350 73 78
command called: 350 72 80
command called: 350 71 81
command called: 350 70 82
command called: 350 69 83
command called: 350 68 84
command called: 350 67 85
command called: 350 66 86
command called: 350 65 87
command called: 350 64 88
command called: 350 63 89
command called: 350 62 90
command called: 350 61 91
command called: 350 60 92
command called: 350 59 93
command called: 350 58 93
command called: 350 57 94
command called: 350 56 95
command called: 350 55 95
command called: 350 54 96
command called: 350 53 97
command called: 350 52 98
command called: 350 51 98
command called: 350 50 99
command called: 350 49 99
command called: 350 48 100
